BNR15;TAMV_DAT;TAMB_FORM;TAMV_ART;TAMV_ANZ;TAM_PERIOD
08 436 095 0018;28.12.2019;31;BZU;0;192
08 436 095 0018;28.12.2019;31;BZU;0;192
08 436 095 0018;28.12.2019;31;BZU;5;192
08 436 095 0018;01.12.2019;31;BZU;5;192
08 436 095 0018;07.11.2019;31;BZU;7;192
08 436 095 0018;28.12.2019;31;BZU;12;192
08 436 095 0018;28.12.2019;31;BZU;3;192
08 436 095 0018;28.12.2019;31;BZU;123;192
08 436 095 0018;28.12.2019;31;BZU;-4;192
08 436 095 0018;29.12.2019;31;BZU;23;192
08 436 095 0018;29.12.2019;31;BZU;23;192
08 436 095 0018;29.12.2019;31;BAB;234;192
08 436 095 0018;29.12.2019;32;BZU;234;192
08 436 095 0018;29.12.2019;31;BAB;12;192
08 436 095 0018;29.12.2019;32;BZU;12;192
08 436 095 0018;29.12.2019;31;BZU;100;192
08 436 095 0018;29.12.2019;31;BZU;100;192
08 436 095 0018;29.12.2019;31;BAB;10;192
08 436 095 0018;29.12.2019;32;BZU;10;192
08 436 095 0018;29.12.2019;31;BAB;12;192
08 436 095 0018;29.12.2019;32;BZU;12;192
08 436 095 0018;29.12.2019;31;BAB;10;192
08 436 095 0018;29.12.2019;32;BZU;10;192
08 436 095 0018;29.12.2019;31;BAB;10;192
08 436 095 0018;29.12.2019;32;BZU;10;192
08 436 095 0018;29.12.2019;31;BZU;14;192
08 436 095 0018;29.12.2019;31;BAB;4;192
08 436 095 0018;29.12.2019;32;BZU;4;192
08 436 095 0018;29.12.2019;31;BAB;4;192
08 436 095 0018;29.12.2019;32;BZU;4;192
08 436 095 0018;29.12.2019;31;BAB;4;192
08 436 095 0018;29.12.2019;32;BZU;4;192
08 436 095 0018;10.12.2019;31;BAB;10;192
08 436 095 0018;10.12.2019;32;BZU;10;192
08 436 095 0018;29.12.2019;31;BAB;10;192
08 436 095 0018;29.12.2019;32;BZU;10;192
08 436 095 0018;04.12.2019;31;BAB;5;192
08 436 095 0018;04.12.2019;32;BZU;5;192
08 436 095 0018;29.12.2019;31;BAB;23;192
08 436 095 0018;29.12.2019;32;BZU;23;192
